Impact Place,Disaster Type,Disaster Size in Meters,Impact Size in persons,Ambulance,Police,FireTruck,Buses,Helicopter
Building,Flood,200,15,2,5,2,1,0
Library,Explosion,1000,85,10,30,5,5,1
Hotel,Chemical hazard,700,35,5,10,2,2,0
Stadium,Terrorist activity,1500,600,30,50,10,5,1
Restaurant,Flood,500,25,5,5,2,1,0
School,Fire,1000,40,10,20,5,1,1
Building,Explosion,1500,85,20,30,10,1,0
Stadium,Fire,2000,750,30,50,15,10,2
Library,Fire,500,40,5,10,2,1,0
Hotel,Terrorist activity,800,45,5,10,2,2,0
Apartment,Chemical hazard,400,10,2,5,2,1,0
Stadium,Flood,1500,500,20,30,5,5,1
Library,Chemical hazard,1000,85,10,20,5,5,1
School,Fire,1500,65,20,30,10,2,0
Apartment,Fire,200,5,1,2,1,1,0
Restaurant,Terrorist activity,800,40,5,10,2,2,0
Hotel,Flood,500,25,5,10,2,1,0
Building,Fire,500,25,5,10,2,1,0
School,Terrorist activity,2000,100,20,30,10,5,1
Park,Explosion,100,10,2,5,1,1,0
Stadium,Chemical hazard,2000,1000,50,100,10,5,2
Building,Fire,1000,65,20,30,10,2,1
Restaurant,Fire,800,35,5,5,2,1,0
Library,Terrorist activity,1500,70,10,30,10,2,1
Hotel,Explosion,700,30,5,5,2,1,0
Apartment,Fire,200,10,2,5,1,1,0
Building,Flood,500,20,2,5,2,1,0
School,Terrorist activity,2000,150,30,50,10,5,1
Park,Fire,400,20,5,5,2,1,0
Stadium,Chemical hazard,1500,700,50,100,10,5,2
Building,Fire,1000,80,10,30,10,2,1
Apartment,Flood,400,15,2,5,2,1,0
Library,Explosion,1500,100,20,30,10,5,1
Hotel,Fire,800,40,5,10,2,2,0
Restaurant,Terrorist activity,500,30,5,5,2,1,0
School,Flood,2000,75,20,30,5,5,1
Building,Chemical Hazard,500,80,10,10,10,5,2
Library,Terrorist Activity,200,30,5,20,5,2,1
Stadium,Flood,2000,1000,30,50,20,10,3
Hotel,Chemical Hazard,500,10,2,2,2,1,0
Apartment,Terrorist Activity,200,5,1,5,1,1,0
Restaurant,Fire,800,15,2,5,1,1,0
Building,Flood,1000,40,5,10,5,2,1
Park,Chemical Hazard,400,5,2,2,1,1,0
Stadium,Terrorist Activity,3000,5000,50,100,30,20,5
Library,Chemical Hazard,1000,40,10,5,5,2,1
School,Fire,1500,50,5,10,5,2,1
Building,Terrorist Activity,500,20,2,10,2,1,0
Restaurant,Chemical Hazard,600,20,5,2,2,1,0
Park,Terrorist Activity,400,10,2,5,1,1,0
Library,Flood,500,25,2,5,2,1,0
School,Terrorist Activity,2000,300,20,30,10,5,2
Apartment,Chemical Hazard,400,8,2,2,2,1,0
Building,Fire,1000,25,5,10,2,2,0
Park,Flood,300,15,2,5,1,1,0
Library,Terrorist Activity,800,20,5,10,2,1,0
Stadium,Fire,2500,100,10,20,5,2,1
School,Chemical Hazard,1500,200,20,20,10,5,2
Hotel,Terrorist Activity,800,10,2,2,2,1,0
Apartment,Fire,300,5,1,5,1,1,0
Restaurant,Flood,400,10,2,5,1,1,0
Building,Chemical Hazard,800,30,5,5,5,2,1
Park,Terrorist Activity,600,20,5,10,2,1,0
Library,Fire,300,10,2,5,1,1,0
School,Chemical Hazard,2000,250,20,30,10,5,2
Apartment,Chemical Hazard,300,5,2,2,1,1,0
Building,Terrorist Activity,800,15,2,5,2,1,0
